[Fri May 27 14:01:32 2016]	[client: 112.198.79.75] [file: core.class.php] - [Device ID: 78B3B4B6-CAC8-46D9-A995-DA3719F02734, Platform: ios, PUSH ID: mMjcJorVTYU:APA91bE0En_flIfoRAbygLZ5g0edQuZltnhBTlIU57vFEtcplpD42uYIOxBcbXGa_qo41AaxWdQE589R965vLjrAn3F6C3bdb4yrhidA7DYR-LfpFvWWwGQx5HcSjPEhqnHdIzT1XvKA]	 Status: [Existing]
[Fri May 27 14:01:32 2016]	[client: 112.198.79.75] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 78B3B4B6-CAC8-46D9-A995-DA3719F02734, Platform: ios, PUSH ID: mMjcJorVTYU:APA91bE0En_flIfoRAbygLZ5g0edQuZltnhBTlIU57vFEtcplpD42uYIOxBcbXGa_qo41AaxWdQE589R965vLjrAn3F6C3bdb4yrhidA7DYR-LfpFvWWwGQx5HcSjPEhqnHdIzT1XvKA]
[Fri May 27 14:03:23 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: e0tzcCg-mNI:APA91bFgbR19-Bxse13QPfg46qO8A5PEqHlKNHM2Tj-XvsUqMt5ptuOnQnIJLg7orLkEafOo1GSBDbb5Z9RjtqwsHsBXHda29cmkch-xASWLGXPGorRTDKR59BfDQ9jcx5niAyuYWl-i]	 Status: [Existing]
[Fri May 27 14:04:03 2016]	[client: 112.198.77.165] [file: core.class.php] - [Device ID: 8FDB2489-0B37-4223-AC62-74460DC9A602, Platform: ios, PUSH ID: n-LaoA_DNQ8:APA91bEbs8S6Ga3rKVrBK6Q-VfSCLj7NvzsmM4DWOjoIISPiWMTUKuhE46dUhAp5j2RFo9aheRb0zjDCuKqM5thXSwBsEpvS65JJp9ugXnbziPI-QYM5LtjW72hb7TlYOK3GlDzRmnSL]	 Status: [Existing]
[Fri May 27 14:04:11 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: e0tzcCg-mNI:APA91bFgbR19-Bxse13QPfg46qO8A5PEqHlKNHM2Tj-XvsUqMt5ptuOnQnIJLg7orLkEafOo1GSBDbb5Z9RjtqwsHsBXHda29cmkch-xASWLGXPGorRTDKR59BfDQ9jcx5niAyuYWl-i]	 Status: [Existing]
[Fri May 27 14:04:28 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: e0tzcCg-mNI:APA91bFgbR19-Bxse13QPfg46qO8A5PEqHlKNHM2Tj-XvsUqMt5ptuOnQnIJLg7orLkEafOo1GSBDbb5Z9RjtqwsHsBXHda29cmkch-xASWLGXPGorRTDKR59BfDQ9jcx5niAyuYWl-i]	 Status: [Existing]
[Fri May 27 14:05:59 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]	 Status: [Existing]
[Fri May 27 14:05:59 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: C0D7B04F-4DCD-4015-9BDB-AE2A6FDD7832, Platform: ios, PUSH ID: m0vyquG4aiE:APA91bGQ0gfRqjOQGbSgx49X_0v73JDik6hhrGl86G4i4S1Aj53THqQ8jOLEvRDmIQN4iUckePIw0LyJyKPPw0CdrXStiijO18FFeUIdIZSGPY8cWw-M4SS7idrCdNoLeyc2qG8xgwBr]
[Fri May 27 14:06:53 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 0F4EDB2B-347B-4E72-8A67-DE18D7245720, Platform: ios, PUSH ID: ncILkmcy-Ec:APA91bGci5FFAJTICRWXE1_G20SUmLYexyynjCCmGoTpwVJg8e9199ip8ymwHkbGSH8Irjtr3LsiVU7jGPzSZn959YxGplqjeb2HaDrwBaHZV4ihg3U7eXAdqJekm-RBYsGnxXCXws2S]	 Status: [Existing]
[Fri May 27 14:07:58 2016]	[client: 112.198.79.75] [file: core.class.php] - [Device ID: 78B3B4B6-CAC8-46D9-A995-DA3719F02734, Platform: ios, PUSH ID: mMjcJorVTYU:APA91bE0En_flIfoRAbygLZ5g0edQuZltnhBTlIU57vFEtcplpD42uYIOxBcbXGa_qo41AaxWdQE589R965vLjrAn3F6C3bdb4yrhidA7DYR-LfpFvWWwGQx5HcSjPEhqnHdIzT1XvKA]	 Status: [Existing]
