[Mon May 23 18:36:56 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: fhJNpNPcthc:APA91bFiTAmuwzvPoZq6Xz8dKurkedfRSTcVLYB1el2_UvTErI9dHfXAPHdDKfB0QBwa1lJ3WH5Kz9OB6sTJ3uFavBc29QS0-5oKxVNd3cpDso9iKntIPA4CiODL5wI1ZnBw4pRHklxF]	 Status: [Existing]
[Mon May 23 18:44:17 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: mPbrpM_JSTg:APA91bEJqhsoyROhAikw069Lar1f7SEYyzdaXbkQW1B8Sb0IbGYS2D7Zcvfz1HCAT5BxKNT1_fNsqXo6a-cpFvC0Nz8W-QyhAOKY4n54cTD2xK4R8JIjtB7C5LiOLId8NUmr1F319nsd]	 Status: [Existing]
[Mon May 23 18:44:18 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: mPbrpM_JSTg:APA91bEJqhsoyROhAikw069Lar1f7SEYyzdaXbkQW1B8Sb0IbGYS2D7Zcvfz1HCAT5BxKNT1_fNsqXo6a-cpFvC0Nz8W-QyhAOKY4n54cTD2xK4R8JIjtB7C5LiOLId8NUmr1F319nsd]	 Status: [Existing]
[Mon May 23 18:47:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: mPbrpM_JSTg:APA91bEJqhsoyROhAikw069Lar1f7SEYyzdaXbkQW1B8Sb0IbGYS2D7Zcvfz1HCAT5BxKNT1_fNsqXo6a-cpFvC0Nz8W-QyhAOKY4n54cTD2xK4R8JIjtB7C5LiOLId8NUmr1F319nsd]	 Status: [Existing]
[Mon May 23 18:47:14 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: mPbrpM_JSTg:APA91bEJqhsoyROhAikw069Lar1f7SEYyzdaXbkQW1B8Sb0IbGYS2D7Zcvfz1HCAT5BxKNT1_fNsqXo6a-cpFvC0Nz8W-QyhAOKY4n54cTD2xK4R8JIjtB7C5LiOLId8NUmr1F319nsd]
[Mon May 23 18:52:44 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
[Mon May 23 18:54:41 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: dx6wBLFZLOk:APA91bFGH7y9E-XfRfDZ5ijR_YHKDiO2eT3HoBLQCcqi3yE-8N62Zcu8su5qwEKkENz5Ws0HvLApJdjz2OM-ZYwFEMmc0dlmyEOOidRWDDfi2DBv4R1N7Eyt296OnC6ZrBEQ7K0cTyXV]	 Status: [Existing]
[Mon May 23 19:07:36 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
[Mon May 23 19:07:37 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
[Mon May 23 22:15:46 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: maK3_bw0vOg:APA91bEv1NOvI3uRnvnWmlFod8-AwJhFCucjdHc5YCaRKzSToYXjWPP3htnmbussxdd_E_JBPvnQ8EIAAM135hQBUkrWrCKXSIDeSwWa46oiGrYtk5oYUKszIgY9TdoOFqjyEMF17YAs]	 Status: [Existing]
