[Wed May 18 18:01:44 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Wed May 18 18:01:44 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]
[Wed May 18 18:22:12 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mk1nfCO061s:APA91bENRyCA9Cqh8RM2uEm3_fdu-n7cRjBOh3eff1ej7q6E-9HNpDuiJZoHVWDdNolO14aOifI3DVoqynkb3M-Kkh3XIzC31OqJYaZgDhW05SO4pudt0EaJLUczvHFs6PaS_pyU3wGk]	 Status: [Existing]
[Wed May 18 18:22:12 2016]	[client: 120.28.99.62] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mk1nfCO061s:APA91bENRyCA9Cqh8RM2uEm3_fdu-n7cRjBOh3eff1ej7q6E-9HNpDuiJZoHVWDdNolO14aOifI3DVoqynkb3M-Kkh3XIzC31OqJYaZgDhW05SO4pudt0EaJLUczvHFs6PaS_pyU3wGk]
[Wed May 18 18:22:54 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mk1nfCO061s:APA91bENRyCA9Cqh8RM2uEm3_fdu-n7cRjBOh3eff1ej7q6E-9HNpDuiJZoHVWDdNolO14aOifI3DVoqynkb3M-Kkh3XIzC31OqJYaZgDhW05SO4pudt0EaJLUczvHFs6PaS_pyU3wGk]	 Status: [Existing]
[Wed May 18 18:22:56 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mk1nfCO061s:APA91bENRyCA9Cqh8RM2uEm3_fdu-n7cRjBOh3eff1ej7q6E-9HNpDuiJZoHVWDdNolO14aOifI3DVoqynkb3M-Kkh3XIzC31OqJYaZgDhW05SO4pudt0EaJLUczvHFs6PaS_pyU3wGk]	 Status: [Existing]
[Wed May 18 18:32:00 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mk1nfCO061s:APA91bENRyCA9Cqh8RM2uEm3_fdu-n7cRjBOh3eff1ej7q6E-9HNpDuiJZoHVWDdNolO14aOifI3DVoqynkb3M-Kkh3XIzC31OqJYaZgDhW05SO4pudt0EaJLUczvHFs6PaS_pyU3wGk]	 Status: [Existing]
[Wed May 18 18:32:01 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mk1nfCO061s:APA91bENRyCA9Cqh8RM2uEm3_fdu-n7cRjBOh3eff1ej7q6E-9HNpDuiJZoHVWDdNolO14aOifI3DVoqynkb3M-Kkh3XIzC31OqJYaZgDhW05SO4pudt0EaJLUczvHFs6PaS_pyU3wGk]	 Status: [Existing]
[Wed May 18 18:43:12 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Success]
[Wed May 18 18:46:22 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 18:46:23 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 18:51:46 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 18:51:47 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 18:55:20 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 18:55:23 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 18:55:55 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mk1nfCO061s:APA91bENRyCA9Cqh8RM2uEm3_fdu-n7cRjBOh3eff1ej7q6E-9HNpDuiJZoHVWDdNolO14aOifI3DVoqynkb3M-Kkh3XIzC31OqJYaZgDhW05SO4pudt0EaJLUczvHFs6PaS_pyU3wGk]	 Status: [Existing]
[Wed May 18 18:55:56 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: mk1nfCO061s:APA91bENRyCA9Cqh8RM2uEm3_fdu-n7cRjBOh3eff1ej7q6E-9HNpDuiJZoHVWDdNolO14aOifI3DVoqynkb3M-Kkh3XIzC31OqJYaZgDhW05SO4pudt0EaJLUczvHFs6PaS_pyU3wGk]	 Status: [Existing]
[Wed May 18 19:03:11 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Wed May 18 19:03:42 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Wed May 18 19:04:05 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]	 Status: [Existing]
[Wed May 18 19:04:05 2016]	[client: 120.28.99.62] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: m_m7PHciHr8:APA91bFbUe-ObyM9PmyEhP8hm0KUcIWoVkhGJmNCISqKEQ379Dtt8RyQGus4kcqBx0BUaPDQggQ_di8aqMdMUhjRpqPEHqTanZ_-8pA_chGQLa4bCT3QLpwfTNrOeThuYzdeho_SweEC]
[Wed May 18 19:07:29 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 19:07:30 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 19:08:43 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 19:08:44 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 19:08:57 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 19:08:57 2016]	[client: 120.28.99.62] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]
[Wed May 18 19:09:00 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]	 Status: [Existing]
[Wed May 18 19:09:00 2016]	[client: 120.28.99.62] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: kedA8TQ17-w:APA91bGaXDlxSNXQ9qLLWElUZ-u2ny8yruUyisG0l49eLebtuE4-8VWW2w6UXZlkH8hZ4jTRPqk_-WAup7jT0NBXK_omuZG0sClWaN6g84NfrJ6UdJ1nCaUYb1mUz-ukOCBZXZF3mqdv]
[Wed May 18 19:10:24 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 19:10:25 2016]	[client: 120.28.99.62] [file: core.class.php] - [Device ID: 4F26D765-565C-498C-9DCF-C2C45BE080B4, Platform: ios, PUSH ID: nQaBSKh_nmw:APA91bFAw-JOeyX7TNb3F9bGDORGn1FlkxC51PN-06K4OcGC_9hb-mmDKG4_ZVfpVsUaPJd2MYSsOrVb0VvfVKEF6qQMaUzqqtPoK5hcZ9XH-TvVllvtN9XhWJXrkwYyiD22z-fGPHha]	 Status: [Existing]
[Wed May 18 19:27:37 2016]	[client: 112.198.79.34] [file: core.class.php] - [Device ID: 28BFA022-BE3C-46A2-8143-0E44CDC8366A, Platform: ios, PUSH ID: n7In7ucZ2a0:APA91bEQaC69am5VhRvnM3xP8BnSLLiKLug_f2YLSVaozgFgMkry2YM9qVOLQoZKHFZdwnN8oNoiqVTkr_yzgzTwPEW3Q58zWaNwzZ7YDYMQqYbNoXTS5nqLQyRXN7piv24SnitKqi49]	 Status: [Success]
