[Wed May 25 16:23:04 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
[Wed May 25 16:25:09 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
[Wed May 25 16:25:10 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
[Wed May 25 16:34:27 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: eIL6YcQvEL0:APA91bGPpUQc2bgsyAaUHL-qa6uOZwFl7l5RnnQuIexb3mOd9JURJ-CFe4qR4DJlNH2kuJzy8hmlftYt-VVq-F0zWKZnJrYYac3KyVB5T7aVtRTONElQRXeZJy3r3ADm90PW29DCYqRC]	 Status: [Existing]
[Wed May 25 16:41:50 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: eIL6YcQvEL0:APA91bGPpUQc2bgsyAaUHL-qa6uOZwFl7l5RnnQuIexb3mOd9JURJ-CFe4qR4DJlNH2kuJzy8hmlftYt-VVq-F0zWKZnJrYYac3KyVB5T7aVtRTONElQRXeZJy3r3ADm90PW29DCYqRC]	 Status: [Existing]
[Wed May 25 16:44:34 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: c725bce2376977ee, Platform: android, PUSH ID: eIL6YcQvEL0:APA91bGPpUQc2bgsyAaUHL-qa6uOZwFl7l5RnnQuIexb3mOd9JURJ-CFe4qR4DJlNH2kuJzy8hmlftYt-VVq-F0zWKZnJrYYac3KyVB5T7aVtRTONElQRXeZJy3r3ADm90PW29DCYqRC]	 Status: [Existing]
[Wed May 25 16:46:31 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: n8oomdj2-Eg:APA91bHe8MiJ_0Q-pIKJbHCPs28CjWvKVWTcXaNzSfl9o6Ks38G2wFJhCrvt5uDo0JIXZzU384dQCG0baNquhJJzJpRRFJlZbImuZuxsg8sLaBe7x4YPU5zcIuvE7XeV7zZN4yBEtpUH]	 Status: [Existing]
[Wed May 25 16:46:31 2016]	[client: 58.69.142.44] [file: core.class.php] - [Message: Unable to complete tokenizing process.] [Device ID: CCDA2667-5BC6-491D-B200-9AD5028FC3CE, Platform: ios, PUSH ID: n8oomdj2-Eg:APA91bHe8MiJ_0Q-pIKJbHCPs28CjWvKVWTcXaNzSfl9o6Ks38G2wFJhCrvt5uDo0JIXZzU384dQCG0baNquhJJzJpRRFJlZbImuZuxsg8sLaBe7x4YPU5zcIuvE7XeV7zZN4yBEtpUH]
[Wed May 25 17:17:51 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 5801b0b49ab8f027, Platform: android, PUSH ID: fGaihs1H1k0:APA91bFXhTXtxBoiWIxX2pC4HeTWi0XCeSz-2pklwkjKof67Ayp_zmCeKbnB3oJWvf62L_Ec5DKXpCwEGS-o_tNqnRfPz_1tDk80Ie-8FxUYY2iKWIpiIwq5yhKsCzDj5oy5qBc8HKmz]	 Status: [Existing]
[Wed May 25 17:21:17 2016]	[client: 58.69.142.44] [file: core.class.php] - [Device ID: 9C9F9D43-6E8B-4112-9091-E02CD8F7790E, Platform: ios, PUSH ID: may0KtTJ7f8:APA91bEW2d6P62Wg1N4vDwZfLR7tRQ0Wbu-gIDgvbV45olxdlZeeort4zT8l9OYtuu-1Wcm5fmIVYkOx9NfbplkxJoq5lOkgfinWgHzCvW8I3d9k_iTgSAzlardAYVcHRzJkQ8_dewwV]	 Status: [Existing]
